Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
0	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12	-1.777399E-12
0.65	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12	-1.772616E-12
1.3	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12	-1.767781E-12
1.95	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12	-1.762951E-12
2.6	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12	-1.75816E-12
3.25	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12	-1.753427E-12
3.9	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12	-1.748762E-12
4.55	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12	-1.744172E-12
5.2	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12	-1.739659E-12
5.85	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12	-1.735225E-12
6.5	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12	-1.730868E-12
7.15	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12	-1.72659E-12
7.8	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12	-1.722388E-12
8.45	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12	-1.718262E-12
9.1	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12	-1.714211E-12
9.75	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12	-1.710233E-12
10.4	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12	-1.706327E-12
11.05	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12	-1.702492E-12
11.7	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12	-1.698726E-12
12.35	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12	-1.695029E-12
13	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12	-1.691399E-12
13.65	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12	-1.687834E-12
14.3	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12	-1.684335E-12
14.95	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12	-1.680898E-12
15.6	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12	-1.677524E-12
16.25	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12	-1.674212E-12
16.9	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12	-1.670959E-12
