Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
0	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13	-9.665668E-13
0.65	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13	-9.850274E-13
1.3	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12	-1.00289E-12
1.95	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12	-1.020567E-12
2.6	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12	-1.038094E-12
3.25	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12	-1.055476E-12
3.9	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12	-1.072714E-12
4.55	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12	-1.089809E-12
5.2	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12	-1.106763E-12
5.85	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12	-1.123576E-12
6.5	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12	-1.140251E-12
7.15	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12	-1.156787E-12
7.8	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12	-1.173186E-12
8.45	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12	-1.189449E-12
9.1	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12	-1.205578E-12
9.75	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12	-1.221573E-12
10.4	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12	-1.237436E-12
11.05	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12	-1.253167E-12
11.7	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12	-1.268769E-12
12.35	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12	-1.284241E-12
13	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12	-1.299585E-12
13.65	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12	-1.314801E-12
14.3	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12	-1.329892E-12
14.95	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12	-1.344858E-12
15.6	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12	-1.3597E-12
16.25	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12	-1.374419E-12
16.9	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12	-1.389017E-12
17.55	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12	-1.403493E-12
18.2	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12	-1.417849E-12
18.85	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12	-1.432087E-12
19.5	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12	-1.446207E-12
20.15	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12	-1.46021E-12
20.8	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12	-1.474096E-12
21.45	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12	-1.487868E-12
22.1	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12	-1.501526E-12
