Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
0	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13	-9.412657E-13
0.65	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13	-9.460734E-13
1.3	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13	-9.486633E-13
1.95	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13	-9.504189E-13
2.6	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13	-9.5185E-13
3.25	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13	-9.531452E-13
3.9	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13	-9.543743E-13
4.55	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13	-9.555633E-13
5.2	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13	-9.567221E-13
5.85	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13	-9.578547E-13
6.5	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13	-9.589628E-13
7.15	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13	-9.600476E-13
7.8	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13	-9.611096E-13
8.45	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13	-9.621492E-13
9.1	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13
9.75	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13
10.4	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13
11.05	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13
11.7	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13
12.35	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13
13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13
13.65	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13
