Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
0	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13	-2.912167E-13
0.13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13	-2.901976E-13
0.26	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13	-2.892596E-13
0.39	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13	-2.883914E-13
0.52	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13	-2.875844E-13
0.65	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13	-2.868312E-13
0.78	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13	-2.861264E-13
0.91	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13	-2.854653E-13
1.04	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13	-2.848438E-13
1.17	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13	-2.842589E-13
1.3	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13	-2.837076E-13
1.43	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13	-2.831876E-13
1.56	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13	-2.826967E-13
1.69	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13	-2.82233E-13
1.82	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13	-2.817949E-13
1.95	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13	-2.813806E-13
2.08	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13
2.21	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13
2.34	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13
2.47	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13
