Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
0	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15	-9.725527E-15
0.65	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15	-1.351383E-15
1.3	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15	2.349418E-15
1.95	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15	3.992887E-15
2.6	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15	4.723362E-15
3.25	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15	5.048089E-15
3.9	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15	5.192447E-15
4.55	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15	5.256622E-15
5.2	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15	5.285151E-15
5.85	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15	5.297834E-15
6.5	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15	5.303473E-15
7.15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15	5.30598E-15
7.8	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15	5.307094E-15
8.45	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15	5.307589E-15
9.1	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15	5.307809E-15
9.75	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15	5.307907E-15
