Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
0	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12	-6.980405E-12
0.65	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12	-6.979835E-12
1.3	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12	-6.979607E-12
1.95	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12	-6.979589E-12
2.6	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12	-6.979697E-12
3.25	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12	-6.979882E-12
3.9	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12	-6.980114E-12
4.55	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12	-6.980372E-12
5.2	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12	-6.980648E-12
5.85	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12	-6.980933E-12
6.5	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12	-6.981222E-12
7.15	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12	-6.981515E-12
7.8	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12	-6.981808E-12
