Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
