Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
